Target: 192.168.1.10 - SEHome-PC
Time range: From: 8/25/2015 8:08:07 PM to: 8/27/2015 8:08:07 PM
Usage stats:
User download usage (mb): 732.98 mb
Packets requested by user: 4,183,287.00
User upload usage (mb): 2,217,456.00
Packets sent by user: 2,217,456.00
Total download utilizatin (mb): 3,619.78 mb
Total Packets requested: 11,890,838.00
Bandwidth usage percentage: 20.25
Packets usage percentage: 35.18
8/26/2015 10:32:11 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:32:11 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 10:32:15 PM	, 	allow	, 	http://download.gfe.nvidia.com/packages/Updatus/production/Version2/19899697/00007D0C/0.dat
8/26/2015 10:32:16 PM	, 	allow	, 	http://download-cdn.gfe.nvidia.com/packages/DAO/production/19900280/00007D18/0.dat
8/26/2015 10:32:19 PM	, 		, 	http://download.gfe.nvidia.com/packages/Updatus/production/Version2/19899697/00007D0C/0.dat
8/26/2015 10:32:26 PM	, 	allow	, 	http://login.live.com/ppcrlcheck.srf
8/26/2015 10:32:28 PM	, 	allow	, 	http://ocsp.verisign.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBRIt2RJ89X%2B%2BhEzqoBeQg8PymQ2UQQUANhaTCXBIuWLMe9tuvPMXynxDWECEDWXMYfzhzoHMn7OWAybfto%3D
8/26/2015 10:32:28 PM	, 		, 	http://ocsp.verisign.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBRIt2RJ89X%2B%2BhEzqoBeQg8PymQ2UQQUANhaTCXBIuWLMe9tuvPMXynxDWECEDWXMYfzhzoHMn7OWAybfto%3D
8/26/2015 10:32:32 PM	, 	allow	, 	http://download-cdn.gfe.nvidia.com/packages/StreamingAssets/production/counter_strike_source/19900280/00007D1F/0.dat
8/26/2015 10:32:32 PM	, 	allow	, 	http://download-cdn.gfe.nvidia.com/packages/StreamingAssets/production/half_life_2/19900280/00007D25/0.dat
